Month,Videos,Total Views,Avg Views/Video,MoM Change %
2025-08,31,16734,540,—
2025-09,27,25682,951,53.5
2025-10,20,20758,1038,-19.2
2025-11,15,19089,1273,-8.0
2025-12,19,17492,921,-8.4
2026-01,18,15002,833,-14.2
2026-02,12,6325,527,-57.8
